Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Water Heater:WaterSystems:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/21  01:00:00,14379513.154973743,6088713.154959202,0.0,0.0,0.0,0.0,100874639.03344801,100802639.03344801,72000.0 
 01/21  02:00:00,13161770.523981903,4870970.523967361,0.0,0.0,0.0,0.0,78604301.0688861,76973197.85785857,1631103.211027542 
 01/21  03:00:00,14379513.154973743,6088713.154959202,0.0,0.0,0.0,0.0,99017663.95212719,98945663.95212719,72000.0 
 01/21  04:00:00,13161770.523981903,4870970.523967361,0.0,0.0,0.0,0.0,75788359.77814573,74157261.35038118,1631098.4277645487 
 01/21  05:00:00,14379513.154973743,6088713.154959202,0.0,0.0,0.0,0.0,99969444.68768913,98338325.52950534,1631119.1581837928 
 01/21  06:00:00,13161770.523981903,4870970.523967361,0.0,0.0,0.0,0.0,76844424.64303942,75213270.71843684,1631153.9246025882 
 01/21  07:00:00,15597255.785965584,7306455.785951043,0.0,0.0,0.0,0.0,83033676.60316812,82961676.60316812,72000.0 
 01/21  08:00:00,8688255.78596558,7306455.785951043,0.0,0.0,0.0,0.0,134024627.02545439,132393505.08003597,1631121.945418428 
 01/21  09:00:00,7306455.78596558,7306455.785951043,0.0,0.0,0.0,0.0,137942188.67961988,136311001.85692236,1631186.8226975207 
 01/21  10:00:00,7306455.78596558,7306455.785951043,0.0,0.0,0.0,0.0,135358642.2084445,133727400.49259606,1631241.7158484631 
 01/21  11:00:00,7306455.78596558,7306455.785951043,0.0,0.0,0.0,0.0,130356194.45978725,130284194.45978725,72000.0 
 01/21  12:00:00,7306455.78596558,7306455.785951043,0.0,0.0,0.0,0.0,129127243.39491177,127495983.94948179,1631259.445429973 
 01/21  13:00:00,7306455.78596558,7306455.785951043,0.0,0.0,0.0,0.0,129532924.52541094,127901778.48857383,1631146.036837089 
 01/21  14:00:00,7306455.78596558,7306455.785951043,0.0,0.0,0.0,0.0,133668342.17089693,132037193.34504358,1631148.8258533452 
 01/21  15:00:00,7306455.78596558,7306455.785951043,0.0,0.0,0.0,0.0,133683781.10360298,132052685.52116606,1631095.5824369392 
 01/21  16:00:00,7306455.78596558,7306455.785951043,0.0,0.0,0.0,0.0,132931268.89901401,131300139.7838977,1631129.115116301 
 01/21  17:00:00,10070055.78596558,7306455.785951043,0.0,0.0,0.0,0.0,125334416.80671155,125262416.80671155,72000.0 
 01/21  18:00:00,15597255.785965584,7306455.785951043,0.0,0.0,0.0,0.0,128336056.02005108,126704929.39780496,1631126.6222461185 
 01/21  19:00:00,14135964.628775375,5845164.628760833,0.0,0.0,0.0,0.0,83694344.01140545,82063297.22727174,1631046.7841337281 
